Bénéficiaire;Département;Nature du projet;Coût du projet;Subvention allouée;Part prise en charge;Parlementaire transmetteur;Nature;Département Parlementaire;Groupe politique du parlementaire;Lien vers données parlementaires
Syndicat intercommunal des écoles élémentaires et maternelles;38;la réfection extérieure de l'école élémentaire de Sainte- Marie d'Alloix et l'acquisition d'un tableau blanc interactif;8283;4141;0,4999396354;DAVID Annie;Sénat;38;CRC;http://nossenateurs.fr/DAVID%20Annie/xml
Syndicat intercommunal des écoles primaires et maternelles de Varreddes et Marcilly;77;la restructuration des sanitaires et la mise en accessibilité de l'école de Marcilly;177716,05;10000;0,0562695378;0;Réserve ministérielle;;;
Syndicat intercommunal des Ecoles Regroupées de Baronville-Landroff;57;l'isolation acoustique des classes de l'école primaire de Landroff;3050;1250;0,4098360656;MASSON Jean-Louis;Sénat;;;http://nossenateurs.fr/MASSON%20Jean-Louis/xml
Syndicat intercommunal des écoles regroupées de Baronville-Landroff;57;l'aménagement d'un city stade;62322;4000;0,0641827926;WOJCIECHOWSKI André;Assemblée nationale;57;UMP;http://2007.nosdeputes.fr/WOJCIECHOWSKI%20André/xml
Syndicat intercommunal des Granges;42;la construction et l'équipement mobilier d'une structure multi-accueil de la petite enfance à Bonson (phases 1 et 2);2030296;60000;0,0295523411;ACCOYER Bernard;Assemblée nationale;74;UMP;http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
Syndicat intercommunal des quatre rivières des portes de la Beauce;91;la création d'un Rura'Pôle;1499991,36;70000;0,0466669355;MARLIN Franck;Assemblée nationale;91;UMP;http://2007.nosdeputes.fr/MARLIN%20Franck/xml
Syndicat intercommunal d'étude et de réalisation du massif forestier du Rougadou;13;"l'acquisition d'un véhicule de type ""Duster""";15604,9;3000;0,1922473069;REYNES Bernard;Assemblée nationale;13;UMP;http://2007.nosdeputes.fr/REYNES%20Bernard/xml
Syndicat intercommunal d'intérêt scolaire de Guilly-Sigloy;45;l'acquisition de mobilier et de matériel éducatif pour les écoles de Guilly et de Sigloy et la garderie périscolaire;5964;2981;0,4998323273;SUEUR Jean-Pierre;Sénat;45;SOC;http://nossenateurs.fr/SUEUR%20Jean-Pierre/xml
Syndicat intercommunal d'intérêt scolaire du Plateau Messin;57;l'acquisition d'un tableau blanc interactif pour l'école de Rezonville;2926,4;1463;0,4999316566;TODESCHINI Jean-Marc;Sénat;57;SOC;http://nossenateurs.fr/TODESCHINI%20Jean-Marc/xml
Syndicat intercommunal d'intérêt scolaire Labbeville-Frouville-Hedouville;95;l'acquisition de mobilier et de jeux d'éveil scolaires, pour l'école de Frouville;3991,16;1995;0,4998546788;ACCOYER Bernard;Assemblée nationale;74;UMP;http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
Syndicat intercommunal du collège de Vigy;57;"l'extension du gymnase ""Paul Vincent"" et l'aménagement des accès et des parkings";1936075,32;133000;0,0686956745;ZIMMERMANN Marie-Jo;Assemblée nationale;57;UMP;http://2007.nosdeputes.fr/ZIMMERMANN%20Marie-Jo/xml
Syndicat intercommunal du collège d'enseignement secondaire de Hegenheim;68;la réhabilitation et l'extension du COSEC du collège;772425,15;61000;0,0789720531;TROENDLE Catherine;Sénat;68;UMP;http://nossenateurs.fr/TROENDLE%20Catherine/xml
Syndicat intercommunal du Grand Vallat;13;la mise en place d'un dispositif de vidéoprotection à Bouc-Bel-Air et Cabriès;239214;20000;0,0836071467;MALLIE Richard;Assemblée nationale;13;UMP;http://2007.nosdeputes.fr/MALLIE%20Richard/xml
Syndicat intercommunal du pôle éducatif de Grugies;2;l'acquisition de mobilier scolaire (programme 2011);6562,58;750;0,1142843211;GRUNY Pascale;Assemblée nationale;2;UMP;http://2007.nosdeputes.fr/GRUNY%20Pascale/xml
Syndicat intercommunal du pôle éducatif primaire du Vermandois;2;la construction d'un pôle éducatif primaire à Etreillers (phase 1);3176914;56800;0,0178789857;BERTRAND Xavier;Assemblée nationale;2;UMP;http://2007.nosdeputes.fr/BERTRAND%20Xavier/xml
Syndicat intercommunal du regroupement pédagogique du Plateau;91;l'acquisition d'un terrain en vue de l'extension du groupe scolaire;37700;10000;0,2652519894;DASSAULT Serge;Sénat;91;UMP;http://nossenateurs.fr/DASSAULT%20Serge/xml
Syndicat intercommunal du secteur scolaire de Dompaire;88;la réhabilitation et l'extension du gymnase;1350000;75000;0,0555555556;PONCELET Christian;Sénat;88;UMP;http://nossenateurs.fr/PONCELET%20Christian/xml
Syndicat intercommunal du terrain de sports des Iles;95;l'installation d'un portail d'accès au bâtiment et au terrain du club Val d'Oise Aviron à Butry-sur-Oise;9000;4500;0,5;HOUILLON Philippe;Assemblée nationale;95;UMP;http://2007.nosdeputes.fr/HOUILLON%20Philippe/xml
Syndicat intercommunal Gymnase du collège de l'Albe;57;la mise en sécurité incendie de la chaufferie et le remplacement du système d'alarme type 4;13105,55;1965;0,1499364773;MARTY Alain;Assemblée nationale;57;UMP;http://2007.nosdeputes.fr/MARTY%20Alain/xml
Syndicat intercommunal Gymnase du collège de l'Albe;57;la réhabilitation des vestiaires et la mise en accessibilité du gymnase;214850;30000;0,1396323016;0;Réserve ministérielle;;;
Syndicat intercommunal mixte du secteur scolaire de Janville-Toury;28;l'équipement informatique de l'école élémentaire de Toury;10119,32;5000;0,4941043469;CORNU Gérard;Sénat;28;UMP;http://nossenateurs.fr/CORNU%20Gérard/xml
Syndicat intercommunal pour la construction, la gestion, le fonctionnement et l'équipement sportif;57;le remplacement partiel des clôtures du gymnase;19140;5000;0,2612330199;GROMMERCH Anne;Assemblée nationale;57;UMP;http://2007.nosdeputes.fr/GROMMERCH%20Anne/xml
Syndicat intercommunal pour la valorisation du patrimoine Cerdan;66;la réfection des toitures de la ferme Cal Mateu;177919,57;10000;0,0562051718;BLANC Paul;Sénat;66;UMP;http://nossenateurs.fr/BLANC%20Paul/xml
Syndicat intercommunal pour le Musée- Promenade de Marly-le-Roi - Louveciennes;78;la réalisation d'un film en rapport avec la maquette du pavillon royal de Marly-le-Roi;20000;10000;0,5;GOURNAC Alain;Sénat;78;UMP;http://nossenateurs.fr/GOURNAC%20Alain/xml
Syndicat intercommunal pour le ramassage et le fonctionnement des écoles de Dury - Ollezy - Tugny - Pont-St-Simon;2;l'équipement informatique du pôle éducatif du Dury- Ollery-Tugny et Pont et Saint-Simon;46603,8;23000;0,4935219875;BERTRAND Xavier;Assemblée nationale;2;UMP;http://2007.nosdeputes.fr/BERTRAND%20Xavier/xml
Syndicat intercommunal pour l'école Alain Fournier;95;l'isolation des combles de l'école;9152,52;300;0,0327778579;PATERNOTTE Yanick;Assemblée nationale;95;UMP;http://2007.nosdeputes.fr/PATERNOTTE%20Yanick/xml
Syndicat intercommunal pour l'énergie de la région Nord-Vimeu;80;l'aménagement de l'éclairage public aux abords du bâtiment administratif de Friville-Escarbotin;58091;15000;0,2582155583;BIGNON Jérôme;Assemblée nationale;80;UMP;http://2007.nosdeputes.fr/BIGNON%20Jérôme/xml
Syndicat Intercommunal RE. CRE. A 5;76;la construction d'une crèche halte-garderie sur la commune d'Ymare;678000;20000;0,0294985251;GUEGOT Françoise;Assemblée nationale;76;UMP;http://2007.nosdeputes.fr/GUEGOT%20Françoise/xml
Syndicat intercommunal regroupement pédagogique A.M.P.S;91;l'acquisition de mobilier pour son futur bureau et l'équipement numérique de l'école;14297,13;7148;0,4999604816;DASSAULT Serge;Sénat;91;UMP;http://nossenateurs.fr/DASSAULT%20Serge/xml
"Syndicat intercommunal scolaire ""les Jeunes Chênes""";88;la construction d'un groupe scolaire intercommunal à Rehaincourt;2259700;10000;0,0044253662;HEINRICH Michel;Assemblée nationale;88;UMP;http://2007.nosdeputes.fr/HEINRICH%20Michel/xml
Syndicat intercommunal scolaire Ailhon- Lentillères;7;la construction d'une classe supplémentaire à l'école d'Ailhon et l'aménagement de la classe maternelle de l'école de Lentillères;255000;6000;0,0235294118;HERVIAUX Odette;Sénat;56;SOC;http://nossenateurs.fr/HERVIAUX%20Odette/xml
Syndicat intercommunal scolaire BREIDENBACH-LENGELSHEIM-SCHWEYEN;57;l'acquisition d'un photocopieur pour l'école;2990;1200;0,4013377926;MASSON Jean-Louis;Sénat;;;http://nossenateurs.fr/MASSON%20Jean-Louis/xml
