Geo Point;Geo Shape;crossing;@id;highway
50.6398651, 3.0773501;"{""type"": ""Point"", ""coordinates"": [3.0773501, 50.6398651]}";;node/3140918365;crossing
50.6418706, 3.0847847;"{""type"": ""Point"", ""coordinates"": [3.0847847, 50.6418706]}";;node/3140918379;crossing
50.6500198, 3.0876343;"{""type"": ""Point"", ""coordinates"": [3.0876343, 50.6500198]}";;node/3140918389;crossing
50.6515271, 3.0899817;"{""type"": ""Point"", ""coordinates"": [3.0899817, 50.6515271]}";;node/3140918401;crossing
50.6516024, 3.0898317;"{""type"": ""Point"", ""coordinates"": [3.0898317, 50.6516024]}";;node/3140918402;crossing
50.6361336, 3.0761794;"{""type"": ""Point"", ""coordinates"": [3.0761794, 50.6361336]}";traffic_signals;node/3149374033;crossing
50.6427694, 3.0163469;"{""type"": ""Point"", ""coordinates"": [3.0163469, 50.6427694]}";zebra;node/3155234541;crossing
50.6047849, 3.0340216;"{""type"": ""Point"", ""coordinates"": [3.0340216, 50.6047849]}";;node/3169699267;crossing
50.6056134, 3.0304295;"{""type"": ""Point"", ""coordinates"": [3.0304295, 50.6056134]}";;node/3171494137;crossing
50.6057221, 3.0306841;"{""type"": ""Point"", ""coordinates"": [3.0306841, 50.6057221]}";;node/3171494151;crossing
50.6057507, 3.0300659;"{""type"": ""Point"", ""coordinates"": [3.0300659, 50.6057507]}";;node/3171494159;crossing
50.6058368, 3.0311499;"{""type"": ""Point"", ""coordinates"": [3.0311499, 50.6058368]}";;node/3171494370;crossing
50.6076199, 3.0367979;"{""type"": ""Point"", ""coordinates"": [3.0367979, 50.6076199]}";zebra;node/3171494466;crossing
50.6129415, 3.0357893;"{""type"": ""Point"", ""coordinates"": [3.0357893, 50.6129415]}";;node/3171494505;crossing
50.636884, 3.0219519;"{""type"": ""Point"", ""coordinates"": [3.0219519, 50.636884]}";zebra;node/3172360928;crossing
50.6073197, 3.0304981;"{""type"": ""Point"", ""coordinates"": [3.0304981, 50.6073197]}";;node/3173786028;crossing
50.6114863, 3.0316053;"{""type"": ""Point"", ""coordinates"": [3.0316053, 50.6114863]}";;node/3173790267;crossing
50.6993986, 3.2106941;"{""type"": ""Point"", ""coordinates"": [3.2106941, 50.6993986]}";;node/3175071082;crossing
50.70001, 3.2123639;"{""type"": ""Point"", ""coordinates"": [3.2123639, 50.70001]}";;node/3175071091;crossing
50.6101651, 3.0354729;"{""type"": ""Point"", ""coordinates"": [3.0354729, 50.6101651]}";;node/3185524449;crossing
50.605611, 3.0289186;"{""type"": ""Point"", ""coordinates"": [3.0289186, 50.605611]}";;node/3187102445;crossing
50.6070893, 3.043379;"{""type"": ""Point"", ""coordinates"": [3.043379, 50.6070893]}";zebra;node/3187102771;crossing
50.6368645, 3.0356716;"{""type"": ""Point"", ""coordinates"": [3.0356716, 50.6368645]}";zebra;node/3187665777;crossing
50.6339631, 3.0434535;"{""type"": ""Point"", ""coordinates"": [3.0434535, 50.6339631]}";zebra;node/3187665790;crossing
50.6334638, 3.0446042;"{""type"": ""Point"", ""coordinates"": [3.0446042, 50.6334638]}";zebra;node/3187665795;crossing
50.6325034, 3.0427977;"{""type"": ""Point"", ""coordinates"": [3.0427977, 50.6325034]}";zebra;node/3187665797;crossing
50.6313261, 3.0404736;"{""type"": ""Point"", ""coordinates"": [3.0404736, 50.6313261]}";zebra;node/3187665806;crossing
50.631253, 3.0403194;"{""type"": ""Point"", ""coordinates"": [3.0403194, 50.631253]}";zebra;node/3187665810;crossing
50.6246543, 3.044388;"{""type"": ""Point"", ""coordinates"": [3.044388, 50.6246543]}";zebra;node/3188079418;crossing
50.6317583, 3.0367032;"{""type"": ""Point"", ""coordinates"": [3.0367032, 50.6317583]}";zebra;node/3188128765;crossing
50.685567, 2.8911572;"{""type"": ""Point"", ""coordinates"": [2.8911572, 50.685567]}";;node/3189781035;crossing
50.6950773, 2.8875569;"{""type"": ""Point"", ""coordinates"": [2.8875569, 50.6950773]}";;node/3189783072;crossing
50.6949157, 2.8876697;"{""type"": ""Point"", ""coordinates"": [2.8876697, 50.6949157]}";;node/3189917050;crossing
50.6019752, 3.0375867;"{""type"": ""Point"", ""coordinates"": [3.0375867, 50.6019752]}";;node/3199887963;crossing
50.6031804, 3.0381523;"{""type"": ""Point"", ""coordinates"": [3.0381523, 50.6031804]}";zebra;node/3199887964;crossing
50.6042807, 3.0282362;"{""type"": ""Point"", ""coordinates"": [3.0282362, 50.6042807]}";island;node/3199887990;crossing
50.6093196, 3.0343448;"{""type"": ""Point"", ""coordinates"": [3.0343448, 50.6093196]}";;node/3199888015;crossing
50.6094195, 3.0342207;"{""type"": ""Point"", ""coordinates"": [3.0342207, 50.6094195]}";;node/3199888017;crossing
50.6098087, 3.0278429;"{""type"": ""Point"", ""coordinates"": [3.0278429, 50.6098087]}";;node/3199888018;crossing
50.6080468, 3.0128967;"{""type"": ""Point"", ""coordinates"": [3.0128967, 50.6080468]}";;node/3200017539;crossing
50.6085733, 3.0124634;"{""type"": ""Point"", ""coordinates"": [3.0124634, 50.6085733]}";;node/3200017543;crossing
50.6088712, 3.0121407;"{""type"": ""Point"", ""coordinates"": [3.0121407, 50.6088712]}";;node/3200017545;crossing
50.6094134, 3.0142425;"{""type"": ""Point"", ""coordinates"": [3.0142425, 50.6094134]}";;node/3200017546;crossing
50.6099267, 3.0237103;"{""type"": ""Point"", ""coordinates"": [3.0237103, 50.6099267]}";;node/3200017549;crossing
50.6106462, 3.0238693;"{""type"": ""Point"", ""coordinates"": [3.0238693, 50.6106462]}";;node/3200017560;crossing
50.6118828, 3.0227056;"{""type"": ""Point"", ""coordinates"": [3.0227056, 50.6118828]}";;node/3200017664;crossing
