id,niveau,parcours,Semestre,Intitulés des UE ,UE nom court,Coeff,ECTS,Intitulés des EC de chaque UE ,EC nom court,Statut,Coeff,ECTS,%CM,%TD,%TP,VH EC,Seuil,EC Libre,Mutualisation Hors EC Libre,Commentaires,Nbs de groupes ,Coût HTD,VH CM,VH TD,VH TP,Mutualisation destination,Mutualisation source,Coût HTD formation
26,M1,NET,1,Ateliers Média,Ateliers Média,1,,Atelier son ,Atelier son ,X,3,3,,1,,30,30,Non Ouvert,Pris sur P8,Pris à CEN,1,30,0,30,0,,M1-CEN,30
27,M1,NET,1,Ateliers Média,Ateliers Média,1,,Atelier vidéo  enrichie et compositing,Atelier Vidéo,X,3,3,,1,,30,30,Non Ouvert,Pris sur P8,Pris à CEN,1,30,0,30,0,,M1-CEN,30
28,M1,NET,1,Production Numérique,Production Numérique,1,9,Interaction 3D,Interaction 3D,X,3,3,"0,7","0,3",,30,30,Non Ouvert,Pris sur P8,Pris à CEN,1,"40,5",21,9,0,,M1-CEN,"40,5"
29,M1,NET,1,Production Numérique,Production Numérique,1,,Editorialisation et strategie de contenu,Editorialisation,X,3,3,"0,7","0,3",,30,30,Non Ouvert,Pris sur P8,Pris à CEN,1,"40,5",21,9,0,,M1-CEN,"40,5"
30,M1,NET,1,Production Numérique,Production Numérique,1,,intégration : HTML / CSS ,HTML / CSS,X,3,3,"0,7","0,3",,30,30,Non Ouvert,Pris sur P8,Pris à CEN,1,"40,5",21,9,0,,M1-CEN,"40,5"
31,M1,NET,1,Production Numérique,Production Numérique,1,,Graphisme et ergonomie d'interfaces,Graphisme et ergonomie,X,3,3,"0,7","0,3",,30,30,Non Ouvert,Pris sur P8,Pris à CEN,1,"40,5",21,9,0,,M1-CEN,"40,5"
32,M1,NET,2,Langages et Méthodes,Langages et Méthodes,1,3,Interactions gestuelles ,Interactions gestuelles ,X,3,3,"0,7","0,3",,30,30,Non Ouvert,Pris sur P8,Pris à CEN,1,"40,5",21,9,0,,M1-CEN,"40,5"
33,M1,NET,2,Langages et Méthodes,Langages et Méthodes,1,,Conception et gestion de projet numérique,Conception et gestion de projet,X,3,3,"0,7","0,3",,30,30,Non Ouvert,Pris sur P8,Pris à CEN,1,"40,5",21,9,0,,M1-CEN,"40,5"
34,M1,NET,2,Langages et Méthodes,Langages et Méthodes,1,,développement tactile,développement tactile,X,3,3,"0,7","0,3",,30,30,Non Ouvert,Pris sur P8,Pris à CEN,1,"40,5",21,9,0,,M1-CEN,"40,5"
35,M1,NET,2,Journées crossmédias  I,Journées crossmédias  I,1,8,Rencontres crossmédias I,Rencontres crossmédias I,O,4,4,1,,,30,30,Ouvert,Pris sur P8,Pris à CEN,1,45,30,0,0,,M1-CEN,45
36,M1,NET,2,Journées crossmédias  I,Journées crossmédias  I,1,,Atelier Crossmédias I,Atelier Crossmédias I,O,4,4,,1,,30,30,Non Ouvert,Pris sur P8,Pris à CEN,1,30,0,30,0,,M1-CEN,30
37,M1,NET,2,Réalisation projet,Réalisation projet,3,19,Suivi développement et intégration ,Suivi développement,O,4,4,"0,7","0,3",,30,30,Non Ouvert,Pris sur P8,Pris à CEN,1,"40,5",21,9,0,,M1-CEN,"40,5"
38,M1,NET,2,Réalisation projet,Réalisation projet,3,,Direction artistique ,Direction artistique ,O,4,4,"0,7","0,3",,30,30,Non Ouvert,Pris sur P8,Pris à CEN,1,"40,5",21,9,0,,M1-CEN,"40,5"
39,M1,NET,2,Réalisation projet,Réalisation projet,3,,Interaction appliquée,Interaction appliquée,O,4,4,"0,7","0,3",,30,30,Non Ouvert,Pris sur P8,Pris à CEN,1,"40,5",21,9,0,,M1-CEN,"40,5"
40,M1,NET,2,Réalisation projet,Réalisation projet,3,,animation 2D et vidéo,animation 2D vidéo,O,3,3,"0,7","0,3",,30,30,Non Ouvert,Pris sur P8,Pris à CEN,1,"40,5",21,9,0,,M1-CEN,"40,5"
41,M1,NET,3,Réalisation projet,Réalisation projet,3,,Aspects éditoriaux de la réalisation multimédia ,Aspects éditoriaux,O,4,4,"0,7","0,3",,30,30,Non Ouvert,Pris sur P8,Pris à CEN,1,"40,5",21,9,0,,M1-CEN,"40,5"
42,M1,GIS,1,Information - communication - langage,Info – com - langage,1,8,Introduction aux sciences de l'information et de la communication (SIC),Introduction SIC,O,2,2,"0,7","0,3",,15,30,Ouvert,"Offert, sur P8",Offert. AVUN/PTN,1,"21,5",11,5,0,"M1-AVUN,M1-PTN",,0
