,"Membre de",Laboratoire,Université,Affiliation,"A pour ville",Nom,"A pour clé de tri"
"Saïd Tazi","Laboratoire d'analyse et d'architecture des systèmes","Laboratoire d'analyse et d'architecture des systèmes",,,Toulouse,"Saïd Tazi",
"Teuvo Kohonen",,,,,Helsinki,"Teuvo Kohonen",
"Theodor Holm Nelson",,,,,,"Theodor Holm Nelson",
"Yannick Toussaint","Laboratoire lorrain de recherche en informatique et ses applications,Orpailleur (Loria)","Laboratoire lorrain de recherche en informatique et ses applications",,,Nancy,"Yannick Toussaint",
"André Tricot","Université Toulouse II-Le Mirail,École pratique des hautes études,Cognition, langues, langages, ergonomie","Cognition, langues, langages, ergonomie","Université Toulouse II-Le Mirail","École pratique des hautes études",Toulouse,"André Tricot",
"Tristan Cazenave","Université Paris-Dauphine",,,"Université Paris-Dauphine",Paris,"Tristan Cazenave",
"Philippe Useille","Université de Valenciennes et du Hainaut-Cambrésis,Design visuel et urbain (laboratoire)","Design visuel et urbain (laboratoire)","Université de Valenciennes et du Hainaut-Cambrésis",,Valenciennes,"Philippe Useille",
"Eric van Herwijnen","Organisation européenne pour la recherche nucléaire",,,"Organisation européenne pour la recherche nucléaire",Genève,"Eric van Herwijnen",
"Christine Vanoirbeek","École polytechnique fédérale de Lausanne",,"École polytechnique fédérale de Lausanne",,Lausanne,"Christine Vanoirbeek",
"Christoph Vatter","Université de la Sarre",,"Université de la Sarre",,Sarrebruck,"Christoph Vatter",
"Alain Vaucelle","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Alain Vaucelle",
"Gilles Venturini","Université François-Rabelais de Tours,École Polytechnique de l'Université de Tours",,"Université François-Rabelais de Tours","École Polytechnique de l'Université de Tours",Tours,"Gilles Venturini",
"Marc Veyrat","Université de Savoie",,"Université de Savoie",,Chambéry,"Marc Veyrat",
"Geneviève Vidal","Université Paris 13,Laboratoire des Sciences de l'Information et de la Communication","Laboratoire des Sciences de l'Information et de la Communication","Université Paris 13",,Villetaneuse,"Geneviève Vidal",
"Thilo Von Pape","Université d'Hohenheim",,"Université d'Hohenheim",,Stuttgart,"Thilo Von Pape",
"Alain Vuillemin","Université d'Artois",,"Université d'Artois",,Arras,"Alain Vuillemin",
"Jean-Louis Vuldy",EDF-DER,,,EDF-DER,Paris,"Jean-Louis Vuldy",
"Jacques Walter","Université de Lorraine,Centre de recherche sur les médiations,Université Paul Verlaine - Metz","Centre de recherche sur les médiations",,"Université de Lorraine",Metz,"Jacques Walter",
"Jean-Louis Weissberg","Université Paris 8,Université Paris 13,IUT Paris-Nord",,"Université Paris 8","Université Paris 13,IUT Paris-Nord",,"Jean-Louis Weissberg",
"Maria Wentland-Forte","Université de Lausanne",,"Université de Lausanne",,Lausanne,"Maria Wentland-Forte,",
"Roberto Willrich","Université fédérale de Santa Catarina",,,"Université fédérale de Santa Catarina",,"Roberto Willrich",
"Xavier Polanco","Institut de l'information scientifique et technique","Institut de l'information scientifique et technique",,,Paris,"Xavier Polanco",
"Antonio Carlos Xavier","Université fédérale du Pernambouc",,"Université fédérale du Pernambouc",,Recife,"Antonio Carlos Xavier",
"Manuel Zacklad","Université de technologie de Troyes,Conservatoire national des arts et métiers,Dispositifs d'information et de communication à l'ère numérique (CNAM)","Dispositifs d'information et de communication à l'ère numérique (CNAM)","Université de technologie de Troyes","Conservatoire national des arts et métiers",Troyes,"Manuel Zacklad",
"Fredj Zamit","Université de Lorraine,Centre de recherche sur les médiations","Centre de recherche sur les médiations","Université de Lorraine",,Metz,"Fredj Zamit",
"Gudrun Ziegler","Université du Luxembourg",,"Université du Luxembourg",,Walferdange,"Gudrun Ziegler",
"Joana Ziller","Université fédérale du Minas Gerais",,"Université fédérale du Minas Gerais",,"Belo Horizonte","Joana Ziller",
"Khaldoun Zreik","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,,
