,"Membre de",Laboratoire,Université,Affiliation,"A pour ville",Nom,"A pour clé de tri"
"Laurent Collet","Université du Sud Toulon Var,Laboratoire Pacte",,"Université du Sud Toulon Var","Laboratoire Pacte",Toulon,"Laurent Collet",
"Catherine Comparot-Poussier","Université Paul Sabatier,USTM-MIRA,Institut de recherche en informatique de Toulouse,Systèmes d'Informations Généralisés (IRIT)","Institut de recherche en informatique de Toulouse","Université Paul Sabatier",USTM-MIRA,Toulouse,"Catherine Comparot-Poussier",
"Michel Cosnard","Centre de recherche INRIA Grenoble – Rhône-Alpes",,,"Centre de recherche INRIA Grenoble – Rhône-Alpes",Grenoble,"Michel Cosnard",
"Daniel Perya","Université de Genève",,"Université de Genève",,Genèvr,"Daniel Perya",
"Daniel Schwabe","Université pontificale catholique de Rio de Janeiro",,"Université pontificale catholique de Rio de Janeiro",,"Rio de Janeiro","Daniel Schwabe",
"François Daoust","Université du Québec à Montréal,Centre d'analyse de texte par ordinateur",,,"Université du Québec à Montréal",,"François Daoust",
"Andrew Davison","Prince of Songkla University",,"Prince of Songkla University",,,"Andrew Davison",
"Giovanni De Paoli","Université de Montréal",,,"Université de Montréal",Montréal,"Giovanni De Paoli",
"Paul Delany","Université de Simon Fraser,Département anglais",,"Université de Simon Fraser","Département anglais",Burnaby,"Paul Delany",
"Paloma Diaz","Université Carlos III de Madrid",,"Université Carlos III de Madrid",,Madrid,"Paloma Diaz",
"Didier Baltazart","Université de Reims Champagne-Ardenne",,,"Université de Reims Champagne-Ardenne",Reims,"Didier Baltazart",
"Lorenzo Diez","École nationale supérieure d'architecture de Nancy",,,"École nationale supérieure d'architecture de Nancy",Nancy,"Lorenzo Diez",
"Mahieddine Djoudi","Université de Poitiers",,"Université de Poitiers",,Poitiers,"Mahieddine Djoudi",
"Abderrezak Dourari","Université Alger 2,CNPLET",CNPLET,"Université Alger 2",,Alger,"Abderrezak Dourari",
"Béatrice Drot-Delange","Université Blaise Pascal",,"Université Blaise Pascal",,Clermont-Ferrand,"Béatrice Drot-Delange",
"Catherine Dubac","Université Paul Sabatier,IRIT-SIG",,"Université Paul Sabatier",IRIT-SIG,Toulouse,"Catherine Dubac",
"Jacques Ducloy","Université de Lorraine",,"Université de Lorraine",,Nancy,"Jacques Ducloy",
"Lise Dumasy","Université Stendhal",,"Université Stendhal",,Grenoble,"Lise Dumasy",
"Luc Dupuy","Université du Québec à Montréal",,,"Université du Québec à Montréal",,"Luc Dupuy",
"Alain Durand","Université de Valenciennes et du Hainaut-Cambrésis",,"Université de Valenciennes et du Hainaut-Cambrésis",,,"Alain Durand",
"Nour El Mawas","Université de technologie de Troyes",,,"Université de technologie de Troyes",Troyes,"Nour El Mawas",
"Eric Bruillard","Université Paris-Est Créteil Val-de-Marne,IUFM Créteil",,"Université Paris-Est Créteil Val-de-Marne",,Créteil,"Eric Bruillard",
"Jym Feat","Université Paris 8",,,"Université Paris 8",Paris,"Jym Feat",
"Christian Fluhr",GEOLSemantics,,,GEOLSemantics,Paris,"Christian Fluhr",
"Claire François","Institut de l'information scientifique et technique",,,"Institut de l'information scientifique et technique",Nancy,"Claire François",
"François Denieul","Laboratoire ""Espaces Intelligents""",,,"Laboratoire ""Espaces Intelligents""",Paris,"François Denieul",
"Sylvain Fraïssé","Université Montpellier 2,Laboratoire d'informatique, de robotique et de microélectronique de Montpellier",,"Université Montpellier 2","Laboratoire d'informatique, de robotique et de microélectronique de Montpellier",Montpellier,"Sylvain Fraïssé",
"Alain Fuchs",CNRS,,,CNRS,,"Alain Fuchs",
"Fabrizio Furano","Università Ca' Foscari Venezia",,"Università Ca' Foscari Venezia",,Venise,"Fabrizio Furano",
"Gilberte Furstenberg","Massachusetts Institute of Technology",,,"Massachusetts Institute of Technology",,"Gilberte Furstenberg",
"Gabriel Gallezot","Information, milieux, médias, médiations","Information, milieux, médias, médiations",,,Nice,"Gabriel Gallezot",
"Franca Garzotto",,,,,Milan,"Franca Garzotto",
"Sébastien Genvo","Université Paul Verlaine,Centre de recherche sur les médiations","Centre de recherche sur les médiations","Université Paul Verlaine",,Metz,"Sébastien Genvo",
"Fanny Georges","Centre national de la recherche scientifique,Laboratoire de mécanique et génie civil","Laboratoire de mécanique et génie civil",,"Centre national de la recherche scientifique",Montpellier,"Fanny Georges",
"Gerard Salton",,,,,,"Gerard Salton",
"Chiara Giaccardi","Université Catholique du Sacré-Cœur",,"Université Catholique du Sacré-Cœur",,Milan,"Chiara Giaccardi",
"Gino Gramaccia","Université de Bordeaux,Université Bordeaux 1",,"Université de Bordeaux","Université Bordeaux 1",Bordeaux,"Gino Gramaccia",
"Charles F. Goldfarb",,,,,"Saratoga (Californie)","Charles F. Goldfarb",
"Fabien Granjon","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)","Université Paris 8",,Paris,"Fabien Granjon",
"Alban Gregoire","Université Blaise Pascal,CNRS,Maison des Sciences de l’Homme Paris Nord",,"Université Blaise Pascal","CNRS,Maison des Sciences de l’Homme Paris Nord",,"Alban Gregoire",
