"Agenda & informations";"domaine";"2009";"5";"1";"5"
"Autoroutes de l'information";"domaine";"1997";"2";"1";"2"
"Communication";"domaine";"2004";"1";"1";"1"
"Communication";"domaine";"2006";"1";"1";"1"
"Communication";"domaine";"2007";"2";"1";"2"
"Communication";"domaine";"2009";"4";"1";"4"
"Communication & Innovation";"domaine";"2011";"1";"1";"1"
"Communication du service scientifique";"domaine";"2005";"4";"1";"4"
"Communication du service scientifique";"domaine";"2006";"5";"1";"5"
"Communication du service scientifique";"domaine";"2007";"1";"1";"1"
"Communication scientifique";"domaine";"2003";"2";"1";"2"
"Communication scientifique";"domaine";"2011";"1";"1";"1"
"Communication scientifique";"domaine";"2013";"1";"1";"1"
"Communication-Innovation";"domaine";"2006";"1";"1";"1"
"Communications";"domaine";"2003";"1";"1";"1"
"Communications";"domaine";"2005";"2";"1";"2"
"Communications";"domaine";"2010";"2";"1";"2"
"Communications";"domaine";"2013";"1";"1";"1"
"Communications aériennes";"domaine";"2004";"1";"1";"1"
"Complément d'information";"domaine";"2005";"1";"1";"1"
"DOSSIER SECTORIEL : Les Systèmes d'Information Géographique en Norvège";"domaine";"2002";"8";"1";"8"
"Electronique - Technologies de l'Information";"domaine";"2002";"3";"1";"3"
"Electronique & Technologies de l'information";"domaine";"2002";"3";"1";"3"
"Electronique, informatique, télécommunications";"domaine";"2005";"7";"1";"7"
"Espace - Télécommunications";"domaine";"2000";"4";"1";"4"
"Gestion de l'information";"domaine";"2004";"1";"1";"1"
"Information";"domaine";"2012";"1";"1";"1"
"Information générale";"domaine";"2004";"1";"1";"1"
"Information scientifique";"domaine";"2009";"3";"1";"3"
"Informations";"domaine";"2003";"1";"1";"1"
"Informations - Communication";"domaine";"2004";"1";"1";"1"
"Informatique - Communication";"domaine";"2005";"1";"1";"1"
"Informatique - Electronique - Communication";"domaine";"2000";"11";"1";"11"
"Informatique - Electronique - Communication";"domaine";"2001";"15";"1";"15"
"Informatique - Electronique - Communications";"domaine";"2002";"3";"1";"3"
"Informatique - Electronique - Télécommunications";"domaine";"2002";"22";"1";"22"
"Informatique - Télécommunication";"domaine";"2007";"3";"1";"3"
"Informatique - Télécommunications";"domaine";"2002";"21";"1";"21"
"Informatique - Télécommunications";"domaine";"2003";"2";"1";"2"
"Informatique - Télécommunications";"domaine";"2004";"1";"1";"1"
"Informatique - Télécommunications";"domaine";"2006";"2";"1";"2"
"Informatique - Télécommunications - Transport";"domaine";"2003";"3";"1";"3"
"Informatique - Télécommunications - Transports";"domaine";"2003";"3";"1";"3"
"Informatique & télécommunications";"domaine";"2006";"3";"1";"3"
"Informatique et communication";"domaine";"2005";"6";"1";"6"
"Informatique et communication";"domaine";"2007";"1";"1";"1"
"Informatique et technologies de l'information et des télécommunications";"domaine";"2011";"3";"1";"3"
"Informatique et Télécommunication";"domaine";"2002";"64";"1";"64"
"Informatique et télécommunications";"domaine";"2003";"62";"1";"62"
"Informatique et télécommunications";"domaine";"2004";"112";"1";"112"
"Informatique et télécommunications";"domaine";"2005";"124";"1";"124"
"Informatique et télécommunications";"domaine";"2006";"13";"1";"13"
"Informatique et télécommunications";"domaine";"2007";"2";"1";"2"
"Informatique et télécommunications";"domaine";"2008";"1";"1";"1"
"Informatique et télécommunications";"domaine";"2013";"1";"1";"1"
"Informatique-Télécommunication";"domaine";"2006";"10";"1";"10"
"Informatique-Télécommunication";"domaine";"2007";"13";"1";"13"
"Informatique-Télécommunication";"domaine";"2008";"2";"1";"2"
"Informatique, électronique, télécommunications";"domaine";"2000";"6";"1";"6"
"Informatiques et télécommunications";"domaine";"2003";"1";"1";"1"
"Innovation et communication";"domaine";"2011";"1";"1";"1"
"Nouvelles technologies de l'information";"domaine";"2003";"1";"1";"1"
