"Informations - Communication";"domaine";"2004";"1";"1";"1"
"Informatique et technologies de l'information et des télécommunications";"domaine";"2011";"3";"1";"3"
"Nouvelles technologies de l'information et de la communication";"domaine";"2009";"1";"1";"1"
"Nouvelles technologies de l'information et de la télécommunication";"domaine";"2009";"1";"1";"1"
"Nouvelles technologies de l'information et la communication";"domaine";"2005";"1";"1";"1"
"Science et technologie de l'information et de la communication";"domaine";"2005";"4";"1";"4"
"Science et technologies de l'information et de la communication";"domaine";"2006";"1";"1";"1"
"Sciences de l'information et de la communication";"domaine";"2004";"2";"1";"2"
"Sciences de l'information et de la communication";"domaine";"2008";"5";"1";"5"
"Sciences de l'information et de la communication";"domaine";"2009";"1";"1";"1"
"Sciences et Technologie de l'Information et de la Communication";"domaine";"2008";"1";"1";"1"
"Sciences et Technologies de l'information et communication";"domaine";"2005";"17";"1";"17"
"Sciences et Technologies de l'information et communication";"domaine";"2006";"67";"1";"67"
"Sciences et technologies de l'information et de la communication";"domaine";"2001";"6";"1";"6"
"Sciences et technologies de l'information et de la communication";"domaine";"2002";"2";"1";"2"
"Sciences et technologies de l'information et de la communication";"domaine";"2003";"13";"1";"13"
"Sciences et technologies de l'information et de la communication";"domaine";"2004";"40";"1";"40"
"Sciences et technologies de l'information et de la communication";"domaine";"2005";"55";"1";"55"
"Sciences et technologies de l'information et de la communication";"domaine";"2006";"109";"1";"109"
"Sciences et technologies de l'information et de la communication";"domaine";"2007";"124";"1";"124"
"Sciences et technologies de l'information et de la communication";"domaine";"2008";"98";"1";"98"
"Sciences et technologies de l'information et de la communication";"domaine";"2009";"123";"1";"123"
"Sciences et technologies de l'information et de la communication";"domaine";"2010";"20";"1";"20"
"Sciences et technologies de l'information et de la communication";"domaine";"2011";"24";"1";"24"
"Sciences et technologies de l'information et de la communication";"domaine";"2012";"22";"1";"22"
"Sciences et technologies de l'information et de la communication";"domaine";"2013";"22";"1";"22"
"Sciences et technologies de l'information et de la communication";"domaine";"2014";"7";"1";"7"
"Sciences et technologies de l'information et de la télécommunication";"domaine";"2001";"3";"1";"3"
"Sciences et technologies de l'information et de la télécommunication";"domaine";"2002";"5";"1";"5"
"Sciences et technologies de l'information et de la télécommunication";"domaine";"2003";"2";"1";"2"
"Sciences et Technologies de l'Information et des Télécommunications";"domaine";"2008";"1";"1";"1"
"Techniques de l'information et de la communication";"domaine";"2009";"3";"1";"3"
"Techniques de l'information et de la communication";"domaine";"2011";"11";"1";"11"
"Techniques de l'information et de la communication";"domaine";"2012";"21";"1";"21"
"Techniques de l'information et de la communication";"domaine";"2013";"2";"1";"2"
"Techniques de l'Informations et de la Communication";"domaine";"2011";"1";"1";"1"
"Technolgies de l'information et de la communication";"domaine";"2009";"4";"1";"4"
"Technologie de l'information et communication";"domaine";"2006";"1";"1";"1"
"Technologie de l'information et de la communication";"domaine";"2002";"3";"1";"3"
"Technologie de l'information et de la communication";"domaine";"2003";"57";"1";"57"
"Technologie de l'information et de la communication";"domaine";"2004";"89";"1";"89"
"Technologie de l'information et de la communication";"domaine";"2005";"9";"1";"9"
"Technologie de l'information et de la communication";"domaine";"2006";"3";"1";"3"
"Technologie de l'information et de la communication";"domaine";"2008";"6";"1";"6"
"Technologie de l'information et de la communication";"domaine";"2009";"1";"1";"1"
"Technologie de l'information et de la communication";"domaine";"2010";"5";"1";"5"
"Technologie de l'information et de la communication";"domaine";"2011";"1";"1";"1"
"Technologie de l'information et de la communication";"domaine";"2012";"1";"1";"1"
"Technologie de l'information et de la communication";"domaine";"2013";"1";"1";"1"
"Technologie de l'information et de la communication.";"domaine";"2003";"1";"1";"1"
"Technologie de l'information et des communications";"domaine";"2008";"3";"1";"3"
"Technologie de l'information et des communications";"domaine";"2009";"1";"1";"1"
"Technologie de l'Information et des Télécommunications";"domaine";"2009";"2";"1";"2"
"Technologies de l'information - Communications";"domaine";"2003";"15";"1";"15"
"Technologies de l'information & de la communication";"domaine";"2006";"2";"1";"2"
"Technologies de l'information et de la communication";"domaine";"2000";"35";"1";"35"
"Technologies de l'information et de la communication";"domaine";"2001";"65";"1";"65"
"Technologies de l'information et de la communication";"domaine";"2002";"81";"1";"81"
"Technologies de l'information et de la communication";"domaine";"2003";"129";"1";"129"
"Technologies de l'information et de la communication";"domaine";"2004";"77";"1";"77"
"Technologies de l'information et de la communication";"domaine";"2005";"129";"1";"129"
"Technologies de l'information et de la communication";"domaine";"2006";"64";"1";"64"
"Technologies de l'information et de la communication";"domaine";"2007";"42";"1";"42"
"Technologies de l'information et de la communication";"domaine";"2008";"48";"1";"48"
"Technologies de l'information et de la communication";"domaine";"2009";"13";"1";"13"
"Technologies de l'information et de la communication";"domaine";"2010";"11";"1";"11"
"Technologies de l'information et de la communication";"domaine";"2011";"68";"1";"68"
"Technologies de l'information et de la communication";"domaine";"2012";"19";"1";"19"
"Technologies de l'information et de la communication";"domaine";"2013";"39";"1";"39"
"Technologies de l'information et de la communication";"domaine";"2014";"15";"1";"15"
"Technologies de l'Information et de la Communication (TIC)";"domaine";"2004";"2";"1";"2"
"Technologies de l'Information et de la Communication (TIC)";"domaine";"2009";"2";"1";"2"
"Technologies de l'Information et de la Communications";"domaine";"2000";"6";"1";"6"
"Technologies de l'Information et des Communications";"domaine";"2002";"5";"1";"5"
"Technologies de l'Information et des Communications";"domaine";"2005";"2";"1";"2"
"Technologies de l'Information et des Communications";"domaine";"2009";"3";"1";"3"
"Technologies de l'Information et des Communications";"domaine";"2011";"2";"1";"2"
"Technologies de l'Information et des Communications";"domaine";"2012";"3";"1";"3"
"Technologies de l'Information et des Télécommunications";"domaine";"2010";"3";"1";"3"
"Technologies de l'informations & de la communication";"domaine";"2011";"2";"1";"2"
"Technologies de la communication et de l'information";"domaine";"2005";"9";"1";"9"
