"2308";"Informatique / Télécommunication";"domaine";"7";"7";"0";NULL
"2304";"Informatique - Télécommunications";"domaine";"28";"26";"0";NULL
"2302";"Sciences et Technologies de l'information et communication";"domaine";"84";"84";"0";NULL
"2298";"Télécommunications/Nanotechnologies";"domaine";"1";"1";"0";NULL
"2280";"Sciences de l'information";"domaine";"30";"30";"0";NULL
"2276";"Informatique/ Télécommunications";"domaine";"4";"4";"0";NULL
"2243";"Espace/Télécommunications";"domaine";"12";"9";"0";NULL
"2231";"Science et technologies de l'information et de la communication";"domaine";"1";"1";"0";NULL
"2204";"Communication / Espace";"domaine";"1";"1";"0";NULL
"2190";"Télécommunication / Santé";"domaine";"1";"1";"0";NULL
"2172";"Informatique/ Télécommunication";"domaine";"3";"3";"0";NULL
"2171";"Transport/Télécommunications";"domaine";"1";"1";"0";NULL
"2170";"Télécommunications/Santé";"domaine";"1";"1";"0";NULL
"2167";"Informatique & télécommunications";"domaine";"3";"3";"0";NULL
"2086";"Technologies de l'information & de la communication";"domaine";"2";"2";"0";NULL
"2067";"Communication-Innovation";"domaine";"1";"1";"0";NULL
"2057";"Politique de la recherche - Télécommunications";"domaine";"1";"1";"0";NULL
"2047";"Communication du service scientifique";"domaine";"10";"10";"0";NULL
"2046";"TIC/ Télécommunication";"domaine";"3";"3";"0";NULL
"2031";"Télécommunications / Médecine";"domaine";"1";"1";"0";NULL
"2020";"Informatique et communication";"domaine";"7";"7";"0";NULL
"2015";"Télécommunication / Informatique";"domaine";"1";"1";"0";NULL
"1936";"Informatique/Télécommunication";"domaine";"52";"52";"0";NULL
"1864";"Politique scientifique et informations générales";"domaine";"20";"20";"0";NULL
"1850";"Technologies de l'informatique et de la communication";"domaine";"1";"1";"0";NULL
"1848";"Informatique - Télécommunication";"domaine";"3";"3";"0";NULL
"1842";"Finlande";"pays";"7";"7";"0";NULL
"1803";"Informatique-Télécommunication";"domaine";"25";"25";"0";NULL
"1801";"Réseaux et télécommunications";"domaine";"51";"50";"0";NULL
"1769";"Sciences et Technologie de l'Information et de la Communication";"domaine";"2";"1";"0";NULL
"1716";"Technologies de l'Information / Informatique";"domaine";"5";"4";"0";NULL
"1714";"Politique scientifique & informations générales";"domaine";"41";"38";"0";NULL
"1711";"Réseaux & Télécommunications";"domaine";"14";"9";"0";NULL
"1709";"Technologie de la Communication";"domaine";"2";"1";"0";NULL
"1708";"Informatique et Télécommunications";"domaine";"356";"314";"0";NULL
"1690";"Amérique";"pays";"26";"24";"0";NULL
"1683";"Technologies de l'information et de la communciation";"domaine";"2";"1";"0";NULL
"1619";"Technologie de l'Information (IT)";"domaine";"4";"2";"0";NULL
"1591";"Politiques scientifiques & informations générales";"domaine";"4";"2";"0";NULL
"1584";"Sciences et Technologies de l'Information et des Télécommunications";"domaine";"2";"1";"0";NULL
"1557";"Sciences de l'information et de la communication";"domaine";"12";"8";"0";NULL
"1529";"Nouvelles technologies informatique et télécommunication";"domaine";"3";"2";"0";NULL
"1517";"Technologie de l'Information et des Télécommunications";"domaine";"2";"2";"0";NULL
"1501";"Science et technologie de l'information";"domaine";"4";"4";"0";NULL
"1476";"Communication / Information scientifique";"domaine";"3";"3";"0";NULL
"1470";"Nouvelles technologies de l'information et de la télécommunication";"domaine";"1";"1";"0";NULL
"1465";"Technologies de la communication";"domaine";"1";"1";"0";NULL
"1455";"Spatial / Télécommunications";"domaine";"2";"2";"0";NULL
"1431";"Technologie de l'information et des communications";"domaine";"7";"4";"0";NULL
"1361";"Informatique/Technologies de l'Information et des Communications/ Arts";"domaine";"3";"3";"0";NULL
"1313";"Agenda & informations";"domaine";"5";"5";"0";NULL
"1309";"Communication";"domaine";"3";"3";"0";NULL
"1240";"Technologies de l'Information et de la Communication (TIC)";"domaine";"4";"4";"0";NULL
"1227";"Technolgies de l'information et de la communication";"domaine";"4";"4";"0";NULL
"1203";"Nouvelles technologies de l'information et de la communication";"domaine";"1";"1";"0";NULL
"1179";"Australie";"pays";"282";"247";"0";NULL
"1171";"Sciences et technologies de l'information";"domaine";"15";"15";"0";NULL
"1123";"Technologies de l'Information et des Télécommunications / Nanotechnologies";"domaine";"3";"3";"0";NULL
"1023";"Slovénie";"pays";"35";"33";"0";NULL
"902";"Technologies de l'Information et des Communications / Télécom";"domaine";"2";"2";"0";NULL
"843";"Technologies de l'informations & de la communication";"domaine";"2";"2";"0";NULL
"821";"Communication & Innovation";"domaine";"1";"1";"0";NULL
"813";"Informatique et technologies de l'information et des télécommunications";"domaine";"3";"3";"0";NULL
"810";"Techniques de l'Informations et de la Communication";"domaine";"1";"1";"0";NULL
"791";"Innovation et communication";"domaine";"1";"1";"0";NULL
"673";"Information";"domaine";"1";"1";"0";NULL
"630";"Technologies de l'information";"domaine";"1321";"1256";"0";NULL
"611";"Hongrie";"pays";"5";"4";"0";NULL
"590";"Technologie de l'information";"domaine";"4";"2";"0";NULL
"507";"Télécommunications";"domaine";"156";"149";"0";NULL
"500";"Technologies de l'information et des communications";"domaine";"10";"10";"0";NULL
"418";"Télécommunication";"domaine";"36";"35";"0";NULL
"398";"Autriche";"pays";"202";"183";"0";NULL
"378";"Technologie de l'information et de la communication";"domaine";"228";"176";"0";NULL
"357";"Systèmes d'information";"domaine";"2";"2";"0";NULL
"347";"Communications";"domaine";"5";"5";"0";NULL
"345";"Techniques de l'information et de la communication";"domaine";"44";"37";"0";NULL
"339";"Communication scientifique";"domaine";"5";"4";"0";NULL
"298";"Russie";"pays";"11";"8";"0";NULL
"284";"Afrique";"pays";"67";"65";"0";NULL
"280";"Technolgies de l'information";;"1";"1";"0";NULL
"247";"Pologne";"pays";"2";"1";"0";NULL
"236";"Belgique";"pays";"6";"6";"0";NULL
"195";"Taiwan";"pays";"9";"9";"0";NULL
"193";"Corée";"pays";"133";"127";"0";NULL
"188";"Pays-Bas";"pays";"9";"8";"0";NULL
"175";"Inde";"pays";"63";"53";"0";NULL
"143";"Royaume-Uni";"pays";"607";"490";"0";NULL
"134";"Danemark";"pays";"13";"12";"0";NULL
"107";"Brésil";"pays";"86";"74";"0";NULL
"101";"Singapour";"pays";"36";"30";"0";NULL
"97";"Norvège";"pays";"116";"103";"0";NULL
"90";"Chine";"pays";"100";"100";"0";NULL
"86";"Technologies de l'information et de la communication";"domaine";"963";"816";"0";NULL
"81";"Slovaquie";"pays";"7";"7";"0";NULL
"79";"Suède";"pays";"2";"2";"0";NULL
"73";"Irlande";"pays";"42";"39";"0";NULL
"71";"Portugal";"pays";"26";"22";"0";NULL
"66";"Espagne";"pays";"249";"204";"0";NULL
"56";"Canada";"pays";"250";"243";"0";NULL
"51";"République";"pays";"3";"2";"0";NULL
"41";"Sciences et technologies de l'information et de la communication";"domaine";"781";"657";"0";NULL
"40";"Etats-Unis";"pays";"743";"627";"0";NULL
"34";"Japon";"pays";"1468";"1384";"0";NULL
"28";"France";"pays";"93";"87";"0";NULL
"21";"Italie";"pays";"14";"11";"0";NULL
"13";"Allemagne";"pays";"157";"149";"0";NULL
"4";"Rédacteurs";;"212";"174";"0";NULL
"2";"Israël";"pays";"240";"194";"0";NULL
